product_id,brand,product_name,review_count,price,main_ingredients
etude_1,etude,수분가득 콜라겐 시트 마스크 25ml,504,"2,500","정제수, 하이드롤라이즈드콜라겐, 부틸렌글라이콜, 메틸프로판다이올, 1,2-헥산다이올, 에탄올, 글리세린, 폴리글리세릴-10라우레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알지닌, 알란토인, 잔탄검, 폴리글리세릴-10미리스테이트, 에틸헥실글리세린, 다이소듐이디티에이, 하이드롤라이즈드루핀단백질, 토코페롤"
etude_2,etude,드로잉 아이 브로우 0.25g,"5,504","3,400","흑색산화철, 하이드로제네이티드돌콩오일, 하이드로제네이티드코코-글리세라이즈, 황색산화철, 마이카, 하이드로제네이티드식물성오일, 적색산화철, 징크스테아레이트, 스테아릭애씨드, 카나우바왁스, 폴리글리세릴-2트라이아이소스테아레이트, 토코페롤, 카프릴릴글라이콜, 페녹시에탄올, 아스코빌팔미테이트, 헥실렌글라이콜"
etude_3,etude,[2개이상구매시10%추가할인][NEW] 왓츠 인 마이 아이즈,"1,962","5,400",
etude_4,etude,오마이 라인,133,"6,400","정제수, 흑색산화철, 아크릴레이트코폴리머, 부틸렌글라이콜, 에탄올, 펜틸렌글라이콜, 1,2-헥산다이올, 폴리솔베이트20, 벤토나이트, 리튬마그네슘소듐실리케이트, 잔탄검, 카프릴릴글라이콜, 소듐데하이드로아세테이트, 소듐메타포스페이트"
etude_5,etude,아이돌 리얼 래쉬 픽서 8ml,539,"8,000",
etude_6,etude,플레이 멀티 아이즈,106,"15,400","[순백의 베이지] 탤크, 합성플루오르플로고파이트, 마이카, 티타늄디옥사이드 (CI 77891), 마그네슘미리스테이트, 나일론-12, 카프릴릭/카프릭트라이글리세라이드, 실리카, 다이아이소스테아릴말레이트, 황색산화철, 다이메티콘, 적색산화철, 라우로일라이신, 울트라마린, 카프릴릴글라이콜, 트라이하이드록시스테아린, 마카다미아씨오일, 글리세릴카프릴레이트, 알루미늄하이드록사이드, 에틸헥실글리세린, 트라이에톡시카프릴릴실레인, 흑색산화철, 토코페롤
[음영의 깊이] 탤크, 합성플루오르플로고파이트, 마이카, 티타늄디옥사이드 (CI 77891), 마그네슘미리스테이트, 나일론-12, 카프릴릭/카프릭트라이글리세라이드, 실리카, 황색산화철, 적색산화철, 다이아이소스테아릴말레이트, 흑색산화철, 다이메티콘, 울트라마린, 라우로일라이신, 카프릴릴글라이콜, 트라이하이드록시스테아린, 마카다미아씨오일, 글리세릴카프릴레이트, 에틸헥실글리세린, 트라이에톡시카프릴릴실레인, 알루미늄하이드록사이드, 토코페롤
[스포트라이트 빔] 칼슘티타늄보로실리케이트, 탤크, 네오펜틸글라이콜다이에틸헥사노에이트, 칼슘알루미늄보로실리케이트, 폴리메틸메타크릴레이트, 마그네슘미리스테이트, 티타늄디옥사이드 (CI 77891), 다이메티콘, 다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트, 헥실라우레이트, 합성플루오르플로고파이트, 다이메티콘/비닐다이메티콘크로스폴리머, 카프릴릴글라이콜, 글리세릴카프릴레이트, 틴옥사이드, 에틸헥실글리세린, 소목껍질추출물, 적색산화철, 황색산화철, 트라이에톡시카프릴릴실레인, 토코페롤
[카카오브라운] 탤크, 합성플루오르플로고파이트, 마이카, 흑색산화철, 황색산화철, 적색산화철, 마그네슘미리스테이트, 나일론-12, 카프릴릭/카프릭트라이글리세라이드, 실리카, 티타늄디옥사이드 (CI 77891), 다이아이소스테아릴말레이트, 다이메티콘, 라우로일라이신, 카프릴릴글라이콜, 트라이하이드록시스테아린, 마카다미아씨오일, 글리세릴카프릴레이트, 에틸헥실글리세린, 트라이에톡시카프릴릴실레인, 알루미늄하이드록사이드, 토코페롤
[꿀광치트키] 칼슘알루미늄보로실리케이트, 합성플루오르플로고파이트, 탤크, 티타늄디옥사이드 (CI 77891), 다이아이소스테아릴말레이트, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드캐스터오일아이소스테아레이트, 마그네슘미리스테이트, 나일론-12, 마그네슘스테아레이트, 폴리메틸메타크릴레이트, 카프릴릴글라이콜, 글리세릴카프릴레이트, 틴옥사이드, 에틸헥실글리세린, 적색산화철, 마이카, 토코페롤
[피치나는피치] 탤크, 마그네슘/포타슘/실리콘/플루오라이드/하이드록사이드/옥사이드, 실리카, 메틸메타크릴레이트크로스폴리머, 알루미늄전분옥테닐석시네이트, 다이메티콘, 카프릴릭/카프릭트라이글리세라이드, 티타늄디옥사이드 (CI 77891), 다이아이소스테아릴말레이트, 마그네슘미리스테이트, 헥실라우레이트, 카프릴릴글라이콜, 알루미늄미리스테이트, 글리세릴카프릴레이트, 황색4호, 하이드로젠다이메티콘, 에틸헥실글리세린, 흑색산화철, 적색산화철, 황색산화철, 적색226호, 알루미늄하이드록사이드, 트라이에톡시카프릴릴실레인, 정제수, 소듐클로라이드, 소듐설페이트, 토코페롤
[말랑말랑살구야] 마이카, 티타늄디옥사이드 (CI 77891), 다이카프릴릴카보네이트, 다이메티콘, 메틸메타크릴레이트크로스폴리머, 합성플루오르플로고파이트, 다이메티콘/비닐다이메티콘크로스폴리머, 페닐트라이메티콘, 적색산화철, 트라이에톡시카프릴릴실레인, 다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트, 카프릴릴글라이콜, 알루미늄하이드록사이드, 카민, 황색산화철, 글리세릴카프릴레이트, 황색4호, 에틸헥실글리세린, 마그네슘스테아레이트, 토코페롤"
etude_7,etude,프루프 10 젤 방수 펜슬 0.3 g,"1,758","7,200","흑색산화철, 트리메칠실록시실리케이트, 사이클로펜타실록산, 이소도데칸, 폴리에칠렌, 합성왁스, 세레신, 마이카, 합성칸데릴라왁스, 폴리이소부텐, 티타늄디옥사이드"
etude_8,etude,픽싱틴트 4g,"3,389","8,400",
etude_9,etude,순정 판텐소사이드10 시카밤 50ml,83,"20,000","정제수, 부틸렌글라이콜, 판테놀, 스쿠알란, 세테아릴알코올, 1,2-헥산다이올, 하이드로제네이티드폴리(C6-14올레핀), 페닐트라이메티콘, 다이아이소스테아릴말레이트, 폴리글리세릴-10스테아레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글리세릴스테아레이트시트레이트, 글리세릴스테아레이트, 세테아릴글루코사이드, 하이드로제네이티드레시틴, 트로메타민, 글리세린, 카프릴릴글라이콜, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 다이소듐이디티에이, 에틸헥실글리세린, 솔비탄아이소스테아레이트, 마데카소사이드, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드, 글루코오스, 녹차추출물, 토코페롤"
etude_10,etude,청순거짓 브라우카라 대용량 기획세트 (9g+4.5g),384,"7,650","정제수, 사이클로펜타실록세인, 트라이메틸실록시실리케이트, 아이소도데케인, 탤크, 메틸트라이메티콘, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 피이지-10다이메티콘, 적색산화철, 오조케라이트, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 황색산화철, 흑색산화철, 부틸렌글라이콜, 라우릴피이지-9폴리다이메틸실록시에틸다이메티콘, 마이카, 티타늄디옥사이드 (CI 77891), 소듐클로라이드, 에틸헥산다이올, 펜틸렌글라이콜, 다이스테아다이모늄헥토라이트, 1,2-헥산다이올, 프로필렌카보네이트, 트라이에톡시카프릴릴실레인, 아이소프로필티타늄트라이아이소스테아레이트, 다이소듐이디티에이, 비스-피이지-15다이메티콘/아이피디아이코폴리머, 알루미늄하이드록사이드, 피이지-2소이아민, 토코페롤"
