ingredient_id,ingredient_eng,ingredient_kor,function,description,skin_concerns
ingr_0001,Glycerin,글리세린,,"Glycerin doesn’t sound very glamorous but it is a real oldie but a goodie . It’s been used in cosmetics for more than  50 years and it’s a totally natural ingredient that’s also in the outermost layer of our skin (called stratum corneum - SC). It’s a so-called humectant type of moisturiser meaning that it helps our skin to cling onto water. A 2005 study has shown that glycerin levels correlate with skin hydration levels , so more glycerin means better hydrated skin. As newer studies examine glycerin it turns out more and more that it’s not just a simple humectant but also does some other important things: It makes sure that the gooey stuff between the skin cells is neither too diluted nor too concentrated (it’s called osmoregulation) It helps to maintain the healthy state of the cell membranes and intracellular lipids (keeping the lipids in a nice liquid crystal state that is optimal for barrier function) It can normalize skin shedding in very dry skin. It protects against skin irritation (such as washing your face too much and/or too aggressively) What this all means is that glycerin is a real superstar and helps to maintain the healthy state of our skin in several ways. And there is even more. If your skin is severely dry, you have to read this. A large-scale study done with 394 guys and girls with dry skin compared two high-glycerin (containing 25% and 40% glycerin) moisturizers to 16 other popular moisturizers on the market (that had less than 6% glycerin). The two high-glycerin ones won hands down . They had superior, quick-acting hydrating properties and they also seemed to create a “reservoir” of moisture-holding ability in the skin . This means that even after not using the high-glycerin moisturizer the skin stayed hydrated longer compared to all the other low glycerin moisturizers. You might think now that this is sooo awsome I will go to the pharmacy right now buy some glycerin and put it on my face. Well, do not do that. 100% pure glycerin is not good for the skin either. Too much glycerin (and in general humectants) might attract water out of the lower layers of the skin . That’s a problem because once water is in the upper layer some of it will evaporate. It’s called trans-epidermal-water-loss (TEWL). If too much TEWL happens your skin becomes dry. :( This is confirmed by a study too: skin treated to 99.7% glycerin for 5 days showed that after the treatment the SC (do you remember? it’s the outermost layer of the skin) was not visibly different from the untreated control. The same study also examined skin treated with a 25% glycerin lotion and there the SC had a visibly different, expanded - in other words more hydrated - appearance. So the thing to know about the optimal amount of glycerin is this: it is an effective molecule already from 3% (even from 1%, at least when combined with skin lipids), and the benefits tend to increase up until 20-40%. Around 10%, glycerin seems to have a reals sweet spot in terms of effects and usability. This amount is still possible to formulate into a relatively light, non-sticky and not too heavy formula (yes, glycerin is sticky and high % is really hard to formulate into a cosmetically elegant formula) but 10% also shows all the great therapeutic effects including effective moisturization with a reservoir effect, protecting against irritation, maintaining a healthy skin barrier and making the skin just smooth and plump. So bottom line: glycerin is a real goodie and far more than a simple moisturizer. In our opinion, it is an underappreciated superstar that deserves more spotlight than it is currently getting.",
ingr_0002,Butylene Glycol,부틸렌글라이콜,,"Butylene glycol, or let’s just call it BG, is a multi-tasking colorless, syrupy liquid. It’s a great pick for creating a nice feeling product. BG’s main job is usually to be a solvent for the other ingredients. Other tasks include helping the product to absorb faster and deeper into the skin (penetration enhancer), making the product spread nicely over the skin (slip agent), and attracting water (humectant) into the skin. It’s an ingredient whose safety hasn’t been questioned so far by anyone (at least not that we know about). BG is approved by Ecocert and is also used enthusiastically in natural products. BTW, it’s also a food additive.",
ingr_0003,Squalene,스쿠알렌,,"Squalene is an oily liquid that originally comes from shark liver but luckily it can also be found in a couple of plant oils. Olive (0.6%), peanut (0.1%) and pumpkin (0.35%) oils contain it, though not in huge amounts. What contains more of it, is the sebum (the oily stuff) that our skin produces. About 13% of human sebum is squalene, which means that it’s an important skin-identical ingredient and NMF (natural moisturizing factor) . Chemically speaking, it is an unsaturated (has double bonds) hydrocarbon (contains only carbon and hydrogen) molecule, that can undergo oxidation. On the pro side, this means that squalene can act as an antioxidant (while its no-double-bond version sister, squalane cannot), but on the con side, squalene is less stable and has a shorter shelf life . This is probably the main reason why its no-double bond and hence more stable sister, squalane shows up more often on ingredient lists. Read about squalane here >>",
ingr_0004,Ceteareth-20,세테아레스-20,,"A common functional ingredient that helps to keep the oil-loving and water-loving ingredients together (emulsifier), stabilizes and thickens the products. Chemically speaking, it is ethoxylated Cetearyl alcohol , meaning that some ethylene oxide is added to the fatty alcohol to increase the water-soluble part in the molecule. The result is that the mainly oil soluble, emollient fatty alcohol is converted to an emulsifier molecule that keeps oil and water mixed in creams. The number in the name of Ceteareth emulsifiers refers to the average number of ethylene oxide molecules added and 20 makes a good emulsifier.",
ingr_0005,Glyceryl Stearate,글리세릴스테아레이트,,"A super common, waxy, white, solid stuff that helps water and oil to mix together, gives body to creams and leaves the skin feeling soft and smooth . Chemically speaking, it is the attachment of a glycerin molecule to the fatty acid called stearic acid . It can be produced from most vegetable oils (in oils three fatty acid molecules are attached to glycerin instead of just one like here) in a pretty simple, ""green"" process that is similar to soap making. It's readily biodegradable. It also occurs naturally in our body and is used as a food additive. As cosmetic chemist Colins writes it , ""its safety really is beyond any doubt"".",
ingr_0006,Glyceryl Stearate SE,글리세릴스테아레이트SE,,"An oily kind of ingredient that can magically blend with water all by itself. This is called self-emulsifying and SE in its name stands for that. The difference between ""normal"" Glyceryl Stearate and this guy is that the SE grade contains a small amount of water-loving soap molecules, such as sodium stearate . This increases Glyceryl Stearate's affinity for water and gives it stronger emulsifying abilities. Other than that, it’s a nice emollient that gives a smooth and soft appearance to the skin. You can read some more at Glyceryl Stearate >>",
ingr_0007,Potassium Sorbate,포타슘솔베이트,,"It's one of those things that help your cosmetics not to go wrong too soon , aka a preservative. It’s not a strong one and doesn’t really work against bacteria, but more against mold and yeast. To do that it has to break down to its active form, sorbic acid. For that to happen, there has to be water in the product and the right pH value (pH 3-4). But even if everything is right, it’s not enough on its own . If you see potassium sorbate you should see some other preservative next to it too. BTW, it’s also a food preservative and even has an E number, E202.",
ingr_0008,Caprylyl Glycol,카프릴릴글라이콜,,"It’s a handy multi-tasking ingredient that gives the skin a nice, soft feel . At the same time, it also boosts the effectiveness of other preservatives , such as the nowadays super commonly used phenoxyethanol . The blend of these two (caprylyl glycol + phenoxyethanol) is called Optiphen, which not only helps to keep your cosmetics free from nasty things for a long time but also gives a good feel to the finished product. It's a popular duo.",
ingr_0009,Squalane,스쿠알란,,"It seems to us that squalane is in fashion and there is a reason for it. Chemically speaking, it is a saturated  (no double bonds) hydrocarbon (a molecule consisting only of carbon and hydrogen), meaning that it's a nice and stable oily liquid with a long shelf life. It occurs naturally in certain fish and plant oils (e.g. olive), and in the sebum (the oily stuff our skin produces) of the human skin . As f.c. puts it in his awesome blog post , squalane's main things are "" emolliency , surface occlusion, and TEWL prevention all with extreme cosmetic elegance "". In other words, it's a superb moisturizer that makes your skin nice and smooth, without being heavy or greasy. Another advantage of squalane is that it is pretty much compatible with all skin types and skin conditions . It is excellent for acne-prone skin and safe to use even if you have fungi-related skin issues, like seborrhea or fungal acne. The unsaturated (with double bonds) and hence less stable version of Squal a ne is Squal e ne, you can read about it here >>",
ingr_0010,Xanthan Gum,잔탄검,,"It's one of the most commonly used thickener s and emulsion stabilizers . If the product is too runny, a little xanthan gum will make it more gel-like. Used alone, it can make the formula sticky and it is a good team player so it is usually combined with other thickeners and so-called rheology modifiers (helper ingredients that adjust the flow and thus the feel of the formula). The typical use level of Xantha Gum is below 1%, it is usually in the 0.1-0.5% range. Btw, Xanthan gum is all natural, a chain of sugar molecules (polysaccharide) produced from individual sugar molecules ( glucose and sucrose ) via fermentation. It’s approved by Ecocert and also used in the food industry (E415).",
ingr_0011,Phenoxyethanol,페녹시에탄올,,"It’s pretty much the current IT- preservative . It’s safe and gentle , but even more importantly, it’s not a feared-by-everyone-mostly-without-scientific-reason paraben. It’s not something new: it was introduced around 1950 and today it can be used up to 1% worldwide. It can be found in nature - in green tea - but the version used in cosmetics is synthetic. Other than having a good safety profile and being quite gentle to the skin it has some other advantages too. It can be used in many types of formulations as it has great thermal stability (can be heated up to 85°C) and works on a wide range of pH levels (ph 3-10). It’s often used together with ethylhexylglycerin as it nicely improves the preservative activity of phenoxyethanol.",
ingr_0012,Sodium Hydroxide,수산화나트륨,,"The unfancy name for it is lye. It’s a solid white stuff that’s very alkaline and used in small amounts to adjust the pH of the product and make it just right. For example, in case of AHA or BHA exfoliants, the right pH is super-duper important, and pH adjusters like sodium hydroxide are needed. BTW, lye is not something new. It was already used by ancient Egyptians to help oil and fat magically turn into something else. Can you guess what? Yes, it’s soap. It still often shows up in the ingredient list of soaps and other cleansers. Sodium hydroxide in itself is a potent skin irritant, but once it's reacted (as it is usually in skin care products, like exfoliants) it is totally harmless.",
ingr_0013,Ethoxydiglycol,에톡시디글라이콜,,"A nice odorless liquid used mainly as a superior solubilizer and efficacy booster for cosmetic active ingredients such as skincare bigshot vitamin C , self-tanning active DHA or the anti-acne gold standard, benzoyl peroxide . Other than that it can also be used in hair care products where it gives a longer-lasting and more uniform coloring. According to a manufacturer, it might even prevent the formation of split ends.",
ingr_0014,Carbomer,카보머,,"A big molecule created from repeated subunits (a polymer of acrylic acid) that magically converts a liquid into a nice gel formula .  It usually has to be neutralized with a base (such as sodium hydroxide ) for the thickening to occur and it creates viscous, clear gels that also feel nice and non-tacky on the skin. No wonder, it is a very popular and common ingredient. Typically used at 1% or less in most formulations.",
ingr_0015,Hyaluronic Acid,히알루론산,,"Hyaluronic acid (HA) and its various forms are the current IT-moisturizer s. So let’s see, what is hyaluronic acid and even more importantly what’s the big deal about it? HA is a nice big sugar molecule from repeated subunits (polymer) that can be found naturally in our body . It’s the most dominant, and most important molecule in the liquidy stuff between our skin cells (the sciency name for it is the extracellular matrix or ECM). A 70 kg adult has about 15 g of HA in her body, and half of it is in the skin. Most of the skin HA is in the dermis (the deeper layer - about 0.5 mg/kg) but there is also some in the epidermis (the upper layer - about 0.1 mg/kg). Saying it’s a big molecule, doesn’t do it justice. By default, it’s a HUGE molecule. Its molecular weight can be up to 4 million Dalton (that is just the unit molecular weight is measured in). To compare, normal table sugar that you bake with has a molecular weight of 340 Dalton. Because HA is a polymer, its subunits can be repeated many times or just a few times and thus different molecular weight versions exist. There is not a super clear definition what counts as high molecular weight or low molecular weight, but it seems to be roughly like this: High molecular weight HA, or HMW-HA :  500k - 4M Dalton Low molecular weight HA, or LMW-HA :   500k Dalton and below. HMW-HA in the skin First, you have to know that this is the version that can mostly be found in our skin . So what does it do? Think of it as a sponge. HMW-HA has superstar water-binding abilities. It can bind 1000 times its own weight in water . Or to say it another way 1 gram of HA can bind up to 6 liters of water! That is a lot, and this makes HA pretty much the best water-binding ingredient we know today. It is really the sponge of our skin: it’s there in the outer layers and helps our skin immensely to attract and retain its water content. Not only that, but HA has lots of other important biological functions. Apart from hydration, the skin-related functions include maintaining the skin's elasticity, reducing the skin's inflammatory response, regenerating the damaged skin barrier and plumping up water-loss related wrinkles. Essentially, helping the skin to look and feel healthy and young. HMW-HA put on your face As for smearing HMW-HA all over our face, you have to know that most probably it does not penetrate the skin . There is a lonely study from 1999 that thinks that HA can absorb into the skin through some active transport mechanism, however, we could not find anything to confirm this.  What we could find is multiple expert opinions and newer studies that state HMW-HA is a huge molecule that stays on top of the skin to give surface hydration and to form a protective barrier . Not only that, but it can also work as an ""osmotic pump"", meaning it can be a penetration enhancer for water-soluble actives . As the cosmetic chemist at Realize Beauty puts it , HA can be an "" osmotic delivery system that can push water-soluble actives deeper into the skin by forming a highly hydrated reservoir on the surface of the skin "". LMW-HA in the skin The biological function of LMW-HA in the skin seems to be crazy complicated and different than that of HMW-HA. LMW-HA is mostly created when HMW-HA is chopped up into smaller pieces at sites of an injury and it is thought to be a pro-inflammatory signal molecule that says ""danger, danger, bring on some inflammation and repair yourself"". LMW-HA put on your face Based on LMW-HA's biological role, the question is logical: is LMW-HA pro-inflammatory when we smear it on? Well, it is a good question and we do not have the surefire answer. Most evidence points so far to a no, at least when it comes to molecular weights in the 50kDa and up range. First, LMW-HA is still a big-big molecule whose penetration is questionable . It might absorb a bit better than HMW-HA, but that still means working mostly in the epidermis, the uppermost layers of the skin. Second, we found multiple studies showing that LMW-HA can help the skin to repair itself . One study showed that 0.2% LMW-HA (~ 200kDa used in the study) increases the skin's self-defense and another two studies found LMW-HA (also in 0.2%) to be helpful for inflammation-related skin diseases such as rosacea and facial seborrheic dermatitis. Third, a manufacturer-related study (done by Evonik) found that HA versions with a molecular-weight of 50kDa and up do not induce inflammatory signals in the skin, however, the 20kDa version did show some pro-inflammatory activity . Granted, this was done on reconstituted human epidermis, so it might or might not be like this on real human skin. BTW, they also found in-vivo (on real people) that the LMW-HA versions , especially the one with 50kDa MW can plump up wrinkles really good. So based on LMW-HA's biological role and the Evonik study, you might want to be careful with ultra-low molecular weights, the ones below 50kDa . However, this is also not a sure thing. We also saw manufacturer data showing that a 10kDa molecular weight HA version has better antioxidant activity than a 1.6MDa version and it also had better sun protection and after-sun repair abilities than the higher MW versions. We really cannot tell you the surefire answer. Our best guess is that if you are a cautious type, avoid the ultra-low MW versions, but ""normal"" LMW-HA seems to be all OK to us. Phweeew, that was really long and complicated, sorry for that. If you are still with us, congrats! You've just become a real HA-and-the-skin expert! :)",
ingr_0016,Laureth-23,라우레스-23,,"A white waxy solid that helps water and oil to mix nicely together (emulsifier). It is derived from the fatty alcohol lauryl alcohol by ethoxylating it and thus making the molecule a lot more water-soluble. In fact, Laureth-23 is mostly water-soluble acting as a solubilizer for dissolving small amounts of oily things into water-based formulas.",
ingr_0017,Centella Asiatica Extract,병풀추출물,,"Centella Asiatica - or sometimes also called Gotu Kola or Cica - has been used in folk medicine for hundreds of years. It’s traditionally used to improve small wounds , burns and scratches and it’s also a well known anti-inflammatory agent for eczema. Recently science has taken an interest in Gotu Kola as well and it turns out it really has many active compounds with several benefits. Just for hard-core geeks, the main biologically active compounds are pentacyclic triterpenoid saponins called asiaticoside, madecassoside, asiatic and madecassic acid (also called centellosides). One of the biological activities of the centellosides is to be able to stimulate GAGs (glycosaminoglycans - polysaccharides that are part of the liquidy stuff between our skin cells), and especially hyaluronic acid synthesis in our skin. This is probably one of the reasons why Centella Asiatica Extract has nice skin moisturizing properties that was confirmed by a 25 people, four weeks study along with Centella's anti-inflammatory effects . Madecassoside can also help in burn wound healing through increasing antioxidant activity and enhancing collagen synthesis. Asiaticoside was shown to increase antioxidant levels on rats skin when applied at 0.2%. Centella Asiatica also often shows up in products that try to treat cellulite or striae . Of course, it cannot make a miracle but it might have some effect via regulating microcirculation and normalizing the metabolism in the cells of connective tissues. Bottom line : Gotu Kola is a great plant ingredient with proven wound healing, anti-inflammatory, and antioxidant properties. Nice to spot on any ingredient list.",
ingr_0018,Sodium Phytate,소듐파이테이트,,It’s one of those little helper ingredients that makes sure the product stays the same over time . No color change or anything like that. It does so by neutralizing the metal ions in the formula (that usually get into there from water) that would otherwise cause some not so nice changes.,
ingr_0019,Triethanolamine,트리에탄올아민,,"It’s a little helper ingredient that helps to set the pH of a cosmetic formulation to be just right. It’s very alkaline (you know the opposite of being very acidic): a 1% solution has a pH of around 10. It does not have the very best safety reputation but in general, you do not have to worry about it. What is true is that if a product contains so-called N-nitrogenating agents (e.g.: preservatives like 2-Bromo-2-Nitropropane-1,3-Diol, 5-Bromo-5-Nitro- 1,3-Dioxane or sodium nitrate - so look out for things with nitro, nitra in the name) that together with TEA can form some not nice carcinogenic stuff (that is called nitrosamines). But with proper formulation that does not happen, TEA in itself is not a bad guy. But let’s assume a bad combination of ingredients were used and the nitrosamines formed. :( Even in that case you are probably fine because as far as we know it cannot penetrate the skin. But to be on the safe side, if you see Triethanolamine in an INCI and also something with nitra, nitro in the name of it just skip the product, that cannot hurt.",
ingr_0020,Lactic Acid,락틱애씨드,,"Lactic acid is the second most well-known and most well researched among the AHAs . The no. 1 is glycolic acid. If you're new to AHAs we strongly suggest that you head over to our description about glycolic acid . There you will find a super detailed geeky description and many of the things we wrote are true to all AHAs and to lactic acid as well. Here we will focus mainly on the differences. :)  But before we dive in, just a short intro. Lactic acid is probably one of oldest actives, about which women have noticed that it has some nice benefits to the skin. Legend has it that in ancient Egypt Cleopatra bathed in sour milk . And yes, you guessed it right: sour milk is a major natural source of lactic acid. As an AHA it’s also true of lactic acid that it can gently lift away dead skin cells revealing the fresher, smoother, nicer skin underneath . This is an awesome property of AHAs and this alone makes us a total fan! But just like glycolic acid, lactic acid also knows some more. However the “some more” is a bit different for the two of them. The differences stem from the fact that the molecule of lactic acid is larger . Because of the larger molecule it can penetrate the skin less effectively. This means on the one hand that lactic acid is more gentle and on the other hand that the anti-aging properties are probably a little less effective. While the collagen boosting ability of lactic acid is not so well proven there are studies that show that it also has great anti-aging properties (if used in the right concentration at the right pH). A study done in 1996 compared a 5% and a 12% lactic acid treatment and examined their effect on the outer (epidermis) and middle (dermis) layer of the skin. The result was that both treatments had nice exfoliation effect, but the 5% treatment only affected the epidermis while the 12% treatment affected both the dermis and the epidermis. Another study has compared multiple AHAs including lactic acid and glycolic acid in terms of skin benefits and skin irritation. The result was that both of them are very effective AHA versions (more effective than citric, malic and hydroxybutyric acids) and after six weeks of use both lactic and glycolic acid improved skin firmness, thickness and wrinkles to a similar extent. This study also compared the different versions of lactic acid, L and D . Lactic acid is like our hands, it has “a left and a right-handed” version. Surprisingly these two versions are not equal: the L-lactic acid showed the same effectiveness with less irritation potential so that version is the better choice for a cosmetic product. BTW, the reason for this is not understood. Other than that lactic acid has one more magic property: it’s an amazing moisturizer ingredient . In fact, it’s so great with moisturizing and treating dry skin that in the USA there is even an FDA-approved, prescription product, called LacHydrin that contains 12% lactic acid to hydrate skin. As for choosing the right product concentration and pH value is very important here too. You can read in detail about both things at the glycolic acid description . The exact same thing is true for lactic acid: pH 3-4 is the best for at-home products . The other good-to-know things listed out at glycolic acid also apply here. The only difference: it’s more gentle, so probably it will cause less stinging or burning (though it depends on the concentration and pH of course). So bottom line : lactic acid is also a superstar. It’s a gentle, moisturizing AHA  that can give you a fresh, smooth, even complexion and also some anti-aging benefits. You have to give it a try if you have not done so so far!",
